Name,Shape,Ranks,Entries,Compression,Elapsed Time (s)
H,"[(4, 4), (32, 32), (32, 32), (2, 2), (8, 8), (10, 10)]","[3, 3, 3, 3, 2]",19100,22486739.76963351,3.351975917816162
S,"[(4, 4), (32, 32), (32, 32), (2, 2), (8, 8), (10, 10)]","[3, 3, 2, 1, 1]",15580,27567184.184852377,3.3520138263702393
F,"[(4, 4), (32, 32), (32, 32), (2, 2), (8, 8), (10, 10)]","[1, 1, 1, 1, 1]",2232,192426850.17921147,3.3520419597625732
B_out,"[(4, 4), (32, 32), (32, 32), (2, 2), (8, 8), (10, 10)]","[3, 4, 4, 4, 3]",29852,14387536.165081067,3.3520689010620117
B_in,"[(4, 4), (32, 32), (32, 32), (2, 2), (8, 8), (10, 10)]","[3, 3, 3, 3, 2]",19100,22486739.76963351,3.3520944118499756
