Name,Shape,Ranks,Entries,Compression,Elapsed Time (s)
H,"[(4, 4), (32, 32), (32, 32), (2, 2), (7, 7), (11, 11)]","[3, 3, 3, 3, 2]",19052,20884340.47113164,4.670881748199463
S,"[(4, 4), (32, 32), (32, 32), (2, 2), (7, 7), (11, 11)]","[1, 1, 1, 1, 1]",2238,177787513.25111708,4.6709136962890625
F,"[(4, 4), (32, 32), (32, 32), (2, 2), (7, 7), (11, 11)]","[1, 1, 1, 1, 1]",2238,177787513.25111708,4.670936584472656
B_out,"[(4, 4), (32, 32), (32, 32), (2, 2), (7, 7), (11, 11)]","[3, 4, 4, 4, 3]",29735,13381148.634807466,4.67095685005188
B_in,"[(4, 4), (32, 32), (32, 32), (2, 2), (7, 7), (11, 11)]","[2, 2, 2, 2, 1]",8459,47037292.192457736,4.670975685119629
