,,Shape,Ranks,Entries,Compression,Elapsed Time (s)
H,1,"[(4, 1), (4, 1), (4, 1), (7, 1), (12, 1), (5, 5), (5, 5)]","[3, 3, 3, 3, 3, 55]",5755,583.84,1.457
S,1,"[(4, 4), (4, 4), (4, 4), (7, 7), (12, 1), (5, 5), (5, 5)]","[3, 3, 2, 1, 1, 17]",1248,1206153.85,1.458
F,1,"[(4, 4), (4, 4), (4, 4), (7, 7), (12, 1), (5, 5), (5, 5)]","[1, 1, 1, 1, 1, 17]",959,1569635.04,1.459
Jx_det_in,1,"[2, 3, 3]","[2, 3]",31,0.58,1.541
Jy_det_in,1,"[2, 3, 3]","[1, 1]",8,2.25,1.541
Rx_in,1,"[2, 3, 3, 3, 3]","[2, 6, 6, 2]",190,0.85,1.541
Ry_in,1,"[2, 3, 3, 3, 3]","[2, 6, 6, 3]",211,0.77,1.541
Ox_in,1,"[4, 4, 4, 2, 3, 3]","[4, 5, 2, 1, 1]",146,7.89,1.541
Oy_in,1,"[4, 4, 4, 2, 3, 3]","[4, 5, 2, 1, 1]",146,7.89,1.541
ORx_in,1,"[4, 4, 4, 2, 3, 3, 3, 3]","[4, 16, 10, 18, 18, 6, 2]",2610,3.97,1.557
ORy_in,1,"[4, 4, 4, 2, 3, 3, 3, 3]","[4, 5, 2, 2, 6, 6, 3]",351,29.54,1.557
ORJx_det_in,1,"[4, 4, 4, 2, 3, 3, 3, 3]","[4, 16, 10, 18, 18, 6, 2]",2610,3.97,1.574
ORJy_det_in,1,"[4, 4, 4, 2, 3, 3, 3, 3]","[4, 5, 2, 2, 6, 6, 3]",351,29.54,1.574
Intg_bound_in,1,"[(12, 12), (4, 4), (4, 1), (4, 1), (5, 5), (5, 5)]","[4, 10, 13, 12, 3]",3335,6908.55,1.828
H_bound_in,1,"[(4, 4), (4, 1), (4, 1), (7, 7), (12, 12), (5, 5), (5, 5)]","[5, 10, 12, 12, 12, 3]",29527,38234.84,1.834
B_in,1,"[(4, 4), (4, 4), (4, 4), (7, 7), (12, 12), (5, 5), (5, 5)]","[5, 10, 12, 12, 12, 3]",31567,572222.89,1.835
Jx_det_out,1,"[2, 3, 3]","[2, 3]",31,0.58,1.843
Jy_det_out,1,"[2, 3, 3]","[1, 1]",8,2.25,1.843
Rx_out,1,"[2, 3, 3, 3, 3]","[2, 6, 6, 2]",190,0.85,1.856
Ry_out,1,"[2, 3, 3, 3, 3]","[2, 6, 6, 3]",211,0.77,1.856
Ox_out,1,"[4, 4, 4, 2, 3, 3]","[4, 5, 2, 1, 1]",146,7.89,1.913
Oy_out,1,"[4, 4, 4, 2, 3, 3]","[4, 5, 2, 1, 1]",146,7.89,1.913
ORx_out,1,"[4, 4, 4, 2, 3, 3, 3, 3]","[4, 16, 10, 18, 18, 6, 2]",2610,3.97,1.929
ORy_out,1,"[4, 4, 4, 2, 3, 3, 3, 3]","[4, 5, 2, 2, 6, 6, 3]",351,29.54,1.929
ORJx_det_out,1,"[4, 4, 4, 2, 3, 3, 3, 3]","[4, 16, 10, 18, 18, 6, 2]",2610,3.97,1.945
ORJy_det_out,1,"[4, 4, 4, 2, 3, 3, 3, 3]","[4, 5, 2, 2, 6, 6, 3]",351,29.54,1.946
Intg_bound_out,1,"[(4, 1), (4, 1), (4, 1), (5, 5), (5, 5)]","[4, 9, 12, 3]",1567,25.53,2.184
H_bound_out,1,"[(4, 1), (4, 1), (4, 1), (7, 1), (12, 1), (5, 5), (5, 5)]","[4, 9, 12, 12, 12, 3]",4303,780.85,2.187
B_out,1,"[(4, 1), (4, 1), (4, 1), (7, 1), (12, 1), (5, 5), (5, 5)]","[4, 9, 12, 12, 12, 3]",4303,780.85,2.187
J,2,"[(3, 1), (3, 1), (3, 1), (3, 1), (3, 1), (3, 1), (2, 2)]","[3, 9, 12, 4, 4, 4]",670,4.35,2.277
J_det,2,"[3, 3, 3, 3]","[3, 6, 3]",126,0.64,2.363
R,2,"[3, 3, 3, 3, 3, 3]","[3, 9, 9, 9, 3]",666,1.09,2.393
dR,2,"[3, 3, 3, 3, 3, 3, 2]","[3, 9, 15, 12, 5, 2]",1249,1.17,2.393
J_detRT,2,"[(3, 1), (3, 1), (3, 1), (3, 1), (1, 3), (1, 3)]","[3, 9, 18, 9, 3]",1152,0.63,2.399
JdR,2,"[3, 3, 3, 3, 3, 3, 2]","[3, 9, 27, 16, 6, 2]",2443,0.6,2.41
Intg_int,2,"[(5, 5), (5, 5)]",[2],100,6.25,2.599
Intg_str,2,"[(5, 5), (5, 5), (2, 1)]","[4, 2]",304,4.11,2.599
H,2,"[(4, 1), (4, 1), (4, 1), (7, 1), (12, 1), (5, 5), (5, 5)]","[3, 3, 3, 3, 3, 10]",1255,2677.29,2.599
S,2,"[(4, 4), (4, 4), (4, 4), (7, 7), (12, 1), (5, 5), (5, 5)]","[3, 3, 2, 1, 1, 2]",498,3022650.6,2.601
F,2,"[(4, 4), (4, 4), (4, 4), (7, 7), (12, 1), (5, 5), (5, 5)]","[1, 1, 1, 1, 1, 1]",159,9467169.81,2.601
Jx_det_in,2,"[2, 3, 3]","[2, 3]",31,0.58,2.684
Jy_det_in,2,"[2, 3, 3]","[1, 1]",8,2.25,2.684
Rx_in,2,"[2, 3, 3, 3, 3]","[2, 6, 6, 2]",190,0.85,2.684
Ry_in,2,"[2, 3, 3, 3, 3]","[2, 6, 6, 3]",211,0.77,2.684
Ox_in,2,"[4, 4, 4, 2, 3, 3]","[2, 2, 2, 1, 1]",50,23.04,2.684
Oy_in,2,"[4, 4, 4, 2, 3, 3]","[2, 2, 2, 1, 1]",50,23.04,2.684
ORx_in,2,"[4, 4, 4, 2, 3, 3, 3, 3]","[4, 16, 18, 18, 18, 6, 2]",3410,3.04,2.701
ORy_in,2,"[4, 4, 4, 2, 3, 3, 3, 3]","[2, 2, 2, 2, 6, 6, 3]",255,40.66,2.701
ORJx_det_in,2,"[4, 4, 4, 2, 3, 3, 3, 3]","[4, 16, 18, 18, 18, 6, 2]",3410,3.04,2.718
ORJy_det_in,2,"[4, 4, 4, 2, 3, 3, 3, 3]","[2, 2, 2, 2, 6, 6, 3]",255,40.66,2.718
Intg_bound_in,2,"[(12, 12), (4, 4), (4, 1), (4, 1), (5, 5), (5, 5)]","[4, 8, 14, 20, 3]",4231,5445.52,3.039
H_bound_in,2,"[(4, 4), (4, 1), (4, 1), (7, 7), (12, 12), (5, 5), (5, 5)]","[5, 9, 20, 20, 20, 3]",79755,14155.35,3.047
B_in,2,"[(4, 4), (4, 4), (4, 4), (7, 7), (12, 12), (5, 5), (5, 5)]","[5, 9, 20, 20, 20, 3]",82455,219069.31,3.047
Jx_det_out,2,"[2, 3, 3]","[2, 3]",31,0.58,3.056
Jy_det_out,2,"[2, 3, 3]","[1, 1]",8,2.25,3.056
Rx_out,2,"[2, 3, 3, 3, 3]","[2, 6, 6, 2]",190,0.85,3.069
Ry_out,2,"[2, 3, 3, 3, 3]","[2, 6, 6, 3]",211,0.77,3.069
Ox_out,2,"[4, 4, 4, 2, 3, 3]","[2, 2, 2, 1, 1]",50,23.04,3.126
Oy_out,2,"[4, 4, 4, 2, 3, 3]","[2, 2, 2, 1, 1]",50,23.04,3.126
ORx_out,2,"[4, 4, 4, 2, 3, 3, 3, 3]","[4, 16, 18, 18, 18, 6, 2]",3410,3.04,3.143
ORy_out,2,"[4, 4, 4, 2, 3, 3, 3, 3]","[2, 2, 2, 2, 6, 6, 3]",255,40.66,3.143
