,,Shape,Ranks,Entries,Compression,Elapsed Time (s)
Ox_in,1,"[4, 4, 4, 2, 3, 3]","[4, 5, 2, 1, 1]",146,7.89,1.615
Oy_in,1,"[4, 4, 4, 2, 3, 3]","[4, 5, 2, 1, 1]",146,7.89,1.615
ORx_in,1,"[4, 4, 4, 2, 3, 3, 3, 3]","[4, 16, 10, 18, 18, 6, 2]",2610,3.97,1.632
ORy_in,1,"[4, 4, 4, 2, 3, 3, 3, 3]","[4, 5, 2, 2, 6, 6, 3]",351,29.54,1.632
ORJx_det_in,1,"[4, 4, 4, 2, 3, 3, 3, 3]","[4, 16, 10, 18, 18, 6, 2]",2610,3.97,1.649
ORJy_det_in,1,"[4, 4, 4, 2, 3, 3, 3, 3]","[4, 5, 2, 2, 6, 6, 3]",351,29.54,1.649
Intg_bound_in,1,"[(12, 12), (4, 4), (4, 1), (4, 1), (5, 5), (5, 5)]","[4, 10, 13, 12, 3]",3335,6908.55,1.908
H_bound_in,1,"[(4, 4), (4, 1), (4, 1), (7, 7), (12, 12), (5, 5), (5, 5)]","[5, 10, 12, 12, 12, 3]",29527,38234.84,1.915
B_in,1,"[(4, 4), (4, 4), (4, 4), (7, 7), (12, 12), (5, 5), (5, 5)]","[5, 10, 12, 12, 12, 3]",31567,572222.89,1.915
Jx_det_out,1,"[2, 3, 3]","[2, 3]",31,0.58,1.923
Jy_det_out,1,"[2, 3, 3]","[1, 1]",8,2.25,1.923
Rx_out,1,"[2, 3, 3, 3, 3]","[2, 6, 6, 2]",190,0.85,1.937
Ry_out,1,"[2, 3, 3, 3, 3]","[2, 6, 6, 3]",211,0.77,1.937
Ox_out,1,"[4, 4, 4, 2, 3, 3]","[4, 5, 2, 1, 1]",146,7.89,1.993
Oy_out,1,"[4, 4, 4, 2, 3, 3]","[4, 5, 2, 1, 1]",146,7.89,1.993
ORx_out,1,"[4, 4, 4, 2, 3, 3, 3, 3]","[4, 16, 10, 18, 18, 6, 2]",2610,3.97,2.009
ORy_out,1,"[4, 4, 4, 2, 3, 3, 3, 3]","[4, 5, 2, 2, 6, 6, 3]",351,29.54,2.009
ORJx_det_out,1,"[4, 4, 4, 2, 3, 3, 3, 3]","[4, 16, 10, 18, 18, 6, 2]",2610,3.97,2.026
ORJy_det_out,1,"[4, 4, 4, 2, 3, 3, 3, 3]","[4, 5, 2, 2, 6, 6, 3]",351,29.54,2.026
Intg_bound_out,1,"[(4, 1), (4, 1), (4, 1), (5, 5), (5, 5)]","[4, 9, 12, 3]",1567,25.53,2.262
H_bound_out,1,"[(4, 1), (4, 1), (4, 1), (7, 1), (12, 1), (5, 5), (5, 5)]","[4, 9, 12, 12, 12, 3]",4303,780.85,2.266
B_out,1,"[(4, 1), (4, 1), (4, 1), (7, 1), (12, 1), (5, 5), (5, 5)]","[4, 9, 12, 12, 12, 3]",4303,780.85,2.266
J,2,"[(3, 1), (3, 1), (3, 1), (3, 1), (3, 1), (3, 1), (2, 2)]","[3, 9, 12, 4, 4, 4]",670,4.35,2.355
J_det,2,"[3, 3, 3, 3]","[3, 6, 3]",126,0.64,2.44
R,2,"[3, 3, 3, 3, 3, 3]","[3, 9, 9, 9, 3]",666,1.09,2.469
dR,2,"[3, 3, 3, 3, 3, 3, 2]","[3, 9, 15, 12, 5, 2]",1249,1.17,2.469
J_detRT,2,"[(3, 1), (3, 1), (3, 1), (3, 1), (1, 3), (1, 3)]","[3, 9, 18, 9, 3]",1152,0.63,2.476
JdR,2,"[3, 3, 3, 3, 3, 3, 2]","[3, 9, 27, 16, 6, 2]",2443,0.6,2.486
Intg_int,2,"[(5, 5), (5, 5)]",[2],100,6.25,2.674
Intg_str,2,"[(5, 5), (5, 5), (2, 1)]","[4, 2]",304,4.11,2.674
H,2,"[(4, 1), (4, 1), (4, 1), (7, 1), (12, 1), (5, 5), (5, 5)]","[3, 3, 3, 3, 3, 10]",1255,2677.29,2.675
S,2,"[(4, 4), (4, 4), (4, 4), (7, 7), (12, 1), (5, 5), (5, 5)]","[3, 3, 2, 1, 1, 2]",498,3022650.6,2.676
F,2,"[(4, 4), (4, 4), (4, 4), (7, 7), (12, 1), (5, 5), (5, 5)]","[1, 1, 1, 1, 1, 1]",159,9467169.81,2.677
Jx_det_in,2,"[2, 3, 3]","[2, 3]",31,0.58,2.759
Jy_det_in,2,"[2, 3, 3]","[1, 1]",8,2.25,2.759
Rx_in,2,"[2, 3, 3, 3, 3]","[2, 6, 6, 2]",190,0.85,2.759
Ry_in,2,"[2, 3, 3, 3, 3]","[2, 6, 6, 3]",211,0.77,2.759
Ox_in,2,"[4, 4, 4, 2, 3, 3]","[2, 2, 2, 1, 1]",50,23.04,2.759
Oy_in,2,"[4, 4, 4, 2, 3, 3]","[2, 2, 2, 1, 1]",50,23.04,2.759
ORx_in,2,"[4, 4, 4, 2, 3, 3, 3, 3]","[4, 16, 18, 18, 18, 6, 2]",3410,3.04,2.777
ORy_in,2,"[4, 4, 4, 2, 3, 3, 3, 3]","[2, 2, 2, 2, 6, 6, 3]",255,40.66,2.777
ORJx_det_in,2,"[4, 4, 4, 2, 3, 3, 3, 3]","[4, 16, 18, 18, 18, 6, 2]",3410,3.04,2.794
ORJy_det_in,2,"[4, 4, 4, 2, 3, 3, 3, 3]","[2, 2, 2, 2, 6, 6, 3]",255,40.66,2.794
Intg_bound_in,2,"[(12, 12), (4, 4), (4, 1), (4, 1), (5, 5), (5, 5)]","[4, 8, 14, 20, 3]",4231,5445.52,3.117
H_bound_in,2,"[(4, 4), (4, 1), (4, 1), (7, 7), (12, 12), (5, 5), (5, 5)]","[5, 9, 20, 20, 20, 3]",79755,14155.35,3.125
B_in,2,"[(4, 4), (4, 4), (4, 4), (7, 7), (12, 12), (5, 5), (5, 5)]","[5, 9, 20, 20, 20, 3]",82455,219069.31,3.125
Jx_det_out,2,"[2, 3, 3]","[2, 3]",31,0.58,3.133
Jy_det_out,2,"[2, 3, 3]","[1, 1]",8,2.25,3.133
Rx_out,2,"[2, 3, 3, 3, 3]","[2, 6, 6, 2]",190,0.85,3.146
Ry_out,2,"[2, 3, 3, 3, 3]","[2, 6, 6, 3]",211,0.77,3.146
