,,Shape,Ranks,Entries,Compression,Elapsed Time (s)
J_detRT,6,"[(3, 1), (3, 1), (3, 1), (3, 1), (1, 3), (1, 3)]","[3, 9, 9, 9, 3]",666,1.09,7.185
JdR,6,"[3, 3, 3, 3, 3, 3, 2]","[3, 9, 15, 16, 6, 2]",1543,0.94,7.195
Intg_int,6,"[(5, 5), (5, 5)]",[1],50,12.5,7.387
Intg_str,6,"[(5, 5), (5, 5), (2, 1)]","[4, 2]",304,4.11,7.387
H,6,"[(4, 1), (4, 1), (4, 1), (7, 1), (12, 1), (5, 5), (5, 5)]","[3, 3, 3, 3, 3, 9]",1155,2909.09,7.388
S,6,"[(4, 4), (4, 4), (4, 4), (7, 7), (12, 1), (5, 5), (5, 5)]","[3, 3, 2, 1, 1, 1]",448,3360000.0,7.389
F,6,"[(4, 4), (4, 4), (4, 4), (7, 7), (12, 1), (5, 5), (5, 5)]","[1, 1, 1, 1, 1, 1]",159,9467169.81,7.389
Jx_det_in,6,"[2, 3, 3]","[1, 3]",20,0.9,7.472
Jy_det_in,6,"[2, 3, 3]","[1, 1]",8,2.25,7.472
Rx_in,6,"[2, 3, 3, 3, 3]","[2, 6, 6, 2]",190,0.85,7.472
Ry_in,6,"[2, 3, 3, 3, 3]","[2, 6, 6, 3]",211,0.77,7.472
Ox_in,6,"[4, 4, 4, 2, 3, 3]","[2, 2, 2, 1, 1]",50,23.04,7.472
Oy_in,6,"[4, 4, 4, 2, 3, 3]","[2, 2, 2, 1, 1]",50,23.04,7.472
ORx_in,6,"[4, 4, 4, 2, 3, 3, 3, 3]","[4, 16, 18, 18, 18, 6, 2]",3410,3.04,7.489
ORy_in,6,"[4, 4, 4, 2, 3, 3, 3, 3]","[2, 2, 2, 2, 6, 6, 3]",255,40.66,7.489
ORJx_det_in,6,"[4, 4, 4, 2, 3, 3, 3, 3]","[4, 16, 18, 18, 18, 6, 2]",3410,3.04,7.506
ORJy_det_in,6,"[4, 4, 4, 2, 3, 3, 3, 3]","[2, 2, 2, 2, 6, 6, 3]",255,40.66,7.506
Intg_bound_in,6,"[(12, 12), (4, 4), (4, 1), (4, 1), (5, 5), (5, 5)]","[4, 8, 14, 20, 3]",4231,5445.52,7.813
H_bound_in,6,"[(4, 4), (4, 1), (4, 1), (7, 7), (12, 12), (5, 5), (5, 5)]","[4, 8, 13, 13, 20, 3]",47904,23567.13,7.819
B_in,6,"[(4, 4), (4, 4), (4, 4), (7, 7), (12, 12), (5, 5), (5, 5)]","[4, 8, 13, 13, 20, 3]",49536,364651.16,7.82
Jx_det_out,6,"[2, 3, 3]","[1, 3]",20,0.9,7.828
Jy_det_out,6,"[2, 3, 3]","[1, 1]",8,2.25,7.828
Rx_out,6,"[2, 3, 3, 3, 3]","[2, 6, 6, 2]",190,0.85,7.841
Ry_out,6,"[2, 3, 3, 3, 3]","[2, 6, 6, 3]",211,0.77,7.841
Ox_out,6,"[4, 4, 4, 2, 3, 3]","[2, 2, 2, 1, 1]",50,23.04,7.9
Oy_out,6,"[4, 4, 4, 2, 3, 3]","[2, 2, 2, 1, 1]",50,23.04,7.9
ORx_out,6,"[4, 4, 4, 2, 3, 3, 3, 3]","[4, 16, 18, 18, 18, 6, 2]",3410,3.04,7.917
ORy_out,6,"[4, 4, 4, 2, 3, 3, 3, 3]","[2, 2, 2, 2, 6, 6, 3]",255,40.66,7.917
ORJx_det_out,6,"[4, 4, 4, 2, 3, 3, 3, 3]","[4, 16, 18, 18, 18, 6, 2]",3410,3.04,7.934
ORJy_det_out,6,"[4, 4, 4, 2, 3, 3, 3, 3]","[2, 2, 2, 2, 6, 6, 3]",255,40.66,7.934
Intg_bound_out,6,"[(4, 1), (4, 1), (4, 1), (5, 5), (5, 5)]","[4, 8, 13, 3]",1610,24.84,8.238
H_bound_out,6,"[(4, 1), (4, 1), (4, 1), (7, 1), (12, 1), (5, 5), (5, 5)]","[4, 8, 13, 13, 13, 3]",4821,696.95,8.241
B_out,6,"[(4, 1), (4, 1), (4, 1), (7, 1), (12, 1), (5, 5), (5, 5)]","[4, 8, 13, 13, 13, 3]",4821,696.95,8.241
J,7,"[(3, 1), (3, 1), (3, 1), (3, 1), (3, 1), (3, 1), (2, 2)]","[3, 9, 10, 4, 4, 4]",592,4.93,8.331
J_det,7,"[3, 3, 3, 3]","[3, 9, 3]",180,0.45,8.416
R,7,"[3, 3, 3, 3, 3, 3]","[3, 9, 23, 9, 3]",1422,0.51,8.445
dR,7,"[3, 3, 3, 3, 3, 3, 2]","[3, 9, 27, 16, 6, 2]",2443,0.6,8.445
J_detRT,7,"[(3, 1), (3, 1), (3, 1), (3, 1), (1, 3), (1, 3)]","[3, 9, 24, 9, 3]",1476,0.49,8.453
JdR,7,"[3, 3, 3, 3, 3, 3, 2]","[3, 9, 27, 16, 6, 2]",2443,0.6,8.464
Intg_int,7,"[(5, 5), (5, 5)]",[10],500,1.25,8.703
Intg_str,7,"[(5, 5), (5, 5), (2, 1)]","[19, 2]",1429,0.87,8.703
H,7,"[(4, 1), (4, 1), (4, 1), (7, 1), (12, 1), (5, 5), (5, 5)]","[3, 3, 3, 3, 3, 48]",5055,664.69,8.704
S,7,"[(4, 4), (4, 4), (4, 4), (7, 7), (12, 1), (5, 5), (5, 5)]","[3, 3, 2, 1, 1, 10]",898,1676258.35,8.705
F,7,"[(4, 4), (4, 4), (4, 4), (7, 7), (12, 1), (5, 5), (5, 5)]","[1, 1, 1, 1, 1, 1]",159,9467169.81,8.705
Jx_det_in,7,"[2, 3, 3]","[1, 3]",20,0.9,8.787
Jy_det_in,7,"[2, 3, 3]","[1, 1]",8,2.25,8.787
Rx_in,7,"[2, 3, 3, 3, 3]","[1, 3, 3, 1]",50,3.24,8.787
Ry_in,7,"[2, 3, 3, 3, 3]","[2, 6, 6, 3]",211,0.77,8.787
Ox_in,7,"[4, 4, 4, 2, 3, 3]","[4, 8, 2, 1, 1]",218,5.28,8.787
Oy_in,7,"[4, 4, 4, 2, 3, 3]","[4, 8, 2, 1, 1]",218,5.28,8.787
ORx_in,7,"[4, 4, 4, 2, 3, 3, 3, 3]","[3, 12, 9, 9, 9, 3, 1]",1086,9.55,8.801
ORy_in,7,"[4, 4, 4, 2, 3, 3, 3, 3]","[4, 8, 2, 2, 6, 6, 3]",423,24.51,8.801
ORJx_det_in,7,"[4, 4, 4, 2, 3, 3, 3, 3]","[3, 12, 9, 9, 9, 3, 1]",1086,9.55,8.816
ORJy_det_in,7,"[4, 4, 4, 2, 3, 3, 3, 3]","[4, 8, 2, 2, 6, 6, 3]",423,24.51,8.816
Intg_bound_in,7,"[(12, 12), (4, 4), (4, 1), (4, 1), (5, 5), (5, 5)]","[3, 9, 13, 11, 2]",2504,9201.28,9.024
H_bound_in,7,"[(4, 4), (4, 1), (4, 1), (7, 7), (12, 12), (5, 5), (5, 5)]","[4, 10, 11, 11, 11, 2]",24617,45860.99,9.029
B_in,7,"[(4, 4), (4, 4), (4, 4), (7, 7), (12, 12), (5, 5), (5, 5)]","[4, 10, 11, 11, 11, 2]",26417,683777.87,9.03
Jx_det_out,7,"[2, 3, 3]","[1, 3]",20,0.9,9.038
Jy_det_out,7,"[2, 3, 3]","[1, 1]",8,2.25,9.038
Rx_out,7,"[2, 3, 3, 3, 3]","[2, 6, 6, 2]",190,0.85,9.051
Ry_out,7,"[2, 3, 3, 3, 3]","[2, 6, 6, 3]",211,0.77,9.051
Ox_out,7,"[4, 4, 4, 2, 3, 3]","[4, 8, 2, 1, 1]",218,5.28,9.107
Oy_out,7,"[4, 4, 4, 2, 3, 3]","[4, 8, 2, 1, 1]",218,5.28,9.107
ORx_out,7,"[4, 4, 4, 2, 3, 3, 3, 3]","[3, 12, 9, 18, 18, 6, 2]",2250,4.61,9.123
ORy_out,7,"[4, 4, 4, 2, 3, 3, 3, 3]","[4, 8, 2, 2, 6, 6, 3]",423,24.51,9.123
ORJx_det_out,7,"[4, 4, 4, 2, 3, 3, 3, 3]","[3, 12, 9, 18, 18, 6, 2]",2250,4.61,9.139
ORJy_det_out,7,"[4, 4, 4, 2, 3, 3, 3, 3]","[4, 8, 2, 2, 6, 6, 3]",423,24.51,9.139
Intg_bound_out,7,"[(4, 1), (4, 1), (4, 1), (5, 5), (5, 5)]","[4, 10, 11, 2]",1216,32.89,9.347
H_bound_out,7,"[(4, 1), (4, 1), (4, 1), (7, 1), (12, 1), (5, 5), (5, 5)]","[4, 10, 11, 11, 11, 2]",3515,955.9,9.35
B_out,7,"[(4, 1), (4, 1), (4, 1), (7, 1), (12, 1), (5, 5), (5, 5)]","[4, 10, 11, 11, 11, 2]",3515,955.9,9.35
J,8,"[(3, 1), (3, 1), (3, 1), (3, 1), (3, 1), (3, 1), (2, 2)]","[2, 6, 3, 3, 3, 3]",189,15.43,9.439
J_det,8,"[3, 3, 3, 3]","[1, 2, 1]",18,4.5,9.524
R,8,"[3, 3, 3, 3, 3, 3]","[3, 9, 9, 9, 3]",666,1.09,9.553
dR,8,"[3, 3, 3, 3, 3, 3, 2]","[3, 8, 12, 12, 5, 2]",1015,1.44,9.553
J_detRT,8,"[(3, 1), (3, 1), (3, 1), (3, 1), (1, 3), (1, 3)]","[3, 9, 9, 9, 3]",666,1.09,9.559
JdR,8,"[3, 3, 3, 3, 3, 3, 2]","[3, 9, 15, 14, 6, 2]",1417,1.03,9.568
Intg_int,8,"[(5, 5), (5, 5)]",[1],50,12.5,9.732
Intg_str,8,"[(5, 5), (5, 5), (2, 1)]","[3, 2]",229,5.46,9.732
H,8,"[(4, 1), (4, 1), (4, 1), (7, 1), (12, 1), (5, 5), (5, 5)]","[3, 3, 3, 3, 3, 7]",955,3518.32,9.732
S,8,"[(4, 4), (4, 4), (4, 4), (7, 7), (12, 1), (5, 5), (5, 5)]","[3, 3, 2, 1, 1, 1]",448,3360000.0,9.733
F,8,"[(4, 4), (4, 4), (4, 4), (7, 7), (12, 1), (5, 5), (5, 5)]","[1, 1, 1, 1, 1, 1]",159,9467169.81,9.734
Jx_det_in,8,"[2, 3, 3]","[1, 1]",8,2.25,9.815
Jy_det_in,8,"[2, 3, 3]","[1, 1]",8,2.25,9.815
Rx_in,8,"[2, 3, 3, 3, 3]","[1, 3, 3, 1]",50,3.24,9.815
Ry_in,8,"[2, 3, 3, 3, 3]","[2, 6, 6, 3]",211,0.77,9.815
Ox_in,8,"[4, 4, 4, 2, 3, 3]","[4, 5, 2, 1, 1]",146,7.89,9.815
Oy_in,8,"[4, 4, 4, 2, 3, 3]","[4, 5, 2, 1, 1]",146,7.89,9.815
ORx_in,8,"[4, 4, 4, 2, 3, 3, 3, 3]","[3, 4, 1, 1, 3, 3, 1]",126,82.29,9.829
ORy_in,8,"[4, 4, 4, 2, 3, 3, 3, 3]","[4, 5, 2, 2, 6, 6, 3]",351,29.54,9.829
ORJx_det_in,8,"[4, 4, 4, 2, 3, 3, 3, 3]","[3, 4, 1, 1, 3, 3, 1]",126,82.29,9.843
ORJy_det_in,8,"[4, 4, 4, 2, 3, 3, 3, 3]","[4, 5, 2, 2, 6, 6, 3]",351,29.54,9.843
Intg_bound_in,8,"[(12, 12), (4, 4), (4, 1), (4, 1), (5, 5), (5, 5)]","[3, 7, 8, 3, 2]",1288,17888.2,10.04
H_bound_in,8,"[(4, 4), (4, 1), (4, 1), (7, 7), (12, 12), (5, 5), (5, 5)]","[5, 8, 3, 3, 3, 2]",2273,496682.8,10.044
B_in,8,"[(4, 4), (4, 4), (4, 4), (7, 7), (12, 12), (5, 5), (5, 5)]","[5, 8, 3, 3, 3, 2]",3041,5939940.81,10.044
Jx_det_out,8,"[2, 3, 3]","[1, 1]",8,2.25,10.053
Jy_det_out,8,"[2, 3, 3]","[1, 1]",8,2.25,10.053
Rx_out,8,"[2, 3, 3, 3, 3]","[2, 6, 6, 2]",190,0.85,10.066
Ry_out,8,"[2, 3, 3, 3, 3]","[2, 6, 6, 3]",211,0.77,10.066
Ox_out,8,"[4, 4, 4, 2, 3, 3]","[4, 5, 2, 1, 1]",146,7.89,10.122
Oy_out,8,"[4, 4, 4, 2, 3, 3]","[4, 5, 2, 1, 1]",146,7.89,10.122
ORx_out,8,"[4, 4, 4, 2, 3, 3, 3, 3]","[3, 4, 1, 2, 6, 6, 2]",266,38.98,10.135
ORy_out,8,"[4, 4, 4, 2, 3, 3, 3, 3]","[4, 5, 2, 2, 6, 6, 3]",351,29.54,10.135
ORJx_det_out,8,"[4, 4, 4, 2, 3, 3, 3, 3]","[3, 4, 1, 2, 6, 6, 2]",266,38.98,10.149
ORJy_det_out,8,"[4, 4, 4, 2, 3, 3, 3, 3]","[4, 5, 2, 2, 6, 6, 3]",351,29.54,10.149
Intg_bound_out,8,"[(4, 1), (4, 1), (4, 1), (5, 5), (5, 5)]","[4, 8, 3, 2]",440,90.91,10.329
H_bound_out,8,"[(4, 1), (4, 1), (4, 1), (7, 1), (12, 1), (5, 5), (5, 5)]","[4, 8, 3, 3, 3, 2]",611,5499.18,10.332
B_out,8,"[(4, 1), (4, 1), (4, 1), (7, 1), (12, 1), (5, 5), (5, 5)]","[4, 8, 3, 3, 3, 2]",611,5499.18,10.332
J,9,"[(3, 1), (3, 1), (3, 1), (3, 1), (3, 1), (3, 1), (2, 2)]","[3, 9, 12, 4, 4, 4]",670,4.35,10.421
J_det,9,"[3, 3, 3, 3]","[3, 9, 3]",180,0.45,10.506
R,9,"[3, 3, 3, 3, 3, 3]","[3, 9, 23, 9, 3]",1422,0.51,10.535
dR,9,"[3, 3, 3, 3, 3, 3, 2]","[3, 9, 27, 16, 6, 2]",2443,0.6,10.535
J_detRT,9,"[(3, 1), (3, 1), (3, 1), (3, 1), (1, 3), (1, 3)]","[3, 9, 27, 9, 3]",1638,0.45,10.543
JdR,9,"[3, 3, 3, 3, 3, 3, 2]","[3, 9, 27, 16, 6, 2]",2443,0.6,10.553
Intg_int,9,"[(5, 5), (5, 5)]",[17],850,0.74,10.793
Intg_str,9,"[(5, 5), (5, 5), (2, 1)]","[19, 2]",1429,0.87,10.793
H,9,"[(4, 1), (4, 1), (4, 1), (7, 1), (12, 1), (5, 5), (5, 5)]","[3, 3, 3, 3, 3, 55]",5755,583.84,10.794
S,9,"[(4, 4), (4, 4), (4, 4), (7, 7), (12, 1), (5, 5), (5, 5)]","[3, 3, 2, 1, 1, 17]",1248,1206153.85,10.795
F,9,"[(4, 4), (4, 4), (4, 4), (7, 7), (12, 1), (5, 5), (5, 5)]","[1, 1, 1, 1, 1, 17]",959,1569635.04,10.795
Jx_det_in,9,"[2, 3, 3]","[2, 3]",31,0.58,10.877
Jy_det_in,9,"[2, 3, 3]","[1, 1]",8,2.25,10.877
Rx_in,9,"[2, 3, 3, 3, 3]","[2, 6, 6, 2]",190,0.85,10.877
Ry_in,9,"[2, 3, 3, 3, 3]","[2, 6, 6, 3]",211,0.77,10.877
Ox_in,9,"[4, 4, 4, 2, 3, 3]","[4, 5, 2, 1, 1]",146,7.89,10.877
Oy_in,9,"[4, 4, 4, 2, 3, 3]","[4, 5, 2, 1, 1]",146,7.89,10.877
ORx_in,9,"[4, 4, 4, 2, 3, 3, 3, 3]","[4, 16, 10, 18, 18, 6, 2]",2610,3.97,10.893
ORy_in,9,"[4, 4, 4, 2, 3, 3, 3, 3]","[4, 5, 2, 2, 6, 6, 3]",351,29.54,10.893
ORJx_det_in,9,"[4, 4, 4, 2, 3, 3, 3, 3]","[4, 16, 10, 18, 18, 6, 2]",2610,3.97,10.91
ORJy_det_in,9,"[4, 4, 4, 2, 3, 3, 3, 3]","[4, 5, 2, 2, 6, 6, 3]",351,29.54,10.91
Intg_bound_in,9,"[(12, 12), (4, 4), (4, 1), (4, 1), (5, 5), (5, 5)]","[4, 10, 14, 12, 3]",3423,6730.94,11.164
H_bound_in,9,"[(4, 4), (4, 1), (4, 1), (7, 7), (12, 12), (5, 5), (5, 5)]","[5, 11, 12, 12, 12, 3]",29595,38146.98,11.171
B_in,9,"[(4, 4), (4, 4), (4, 4), (7, 7), (12, 12), (5, 5), (5, 5)]","[5, 11, 12, 12, 12, 3]",31839,567334.4,11.171
Jx_det_out,9,"[2, 3, 3]","[2, 3]",31,0.58,11.18
Jy_det_out,9,"[2, 3, 3]","[1, 1]",8,2.25,11.18
Rx_out,9,"[2, 3, 3, 3, 3]","[2, 6, 6, 2]",190,0.85,11.193
Ry_out,9,"[2, 3, 3, 3, 3]","[2, 6, 6, 3]",211,0.77,11.193
Ox_out,9,"[4, 4, 4, 2, 3, 3]","[4, 5, 2, 1, 1]",146,7.89,11.249
Oy_out,9,"[4, 4, 4, 2, 3, 3]","[4, 5, 2, 1, 1]",146,7.89,11.249
ORx_out,9,"[4, 4, 4, 2, 3, 3, 3, 3]","[4, 16, 10, 18, 18, 6, 2]",2610,3.97,11.264
ORy_out,9,"[4, 4, 4, 2, 3, 3, 3, 3]","[4, 5, 2, 2, 6, 6, 3]",351,29.54,11.264
ORJx_det_out,9,"[4, 4, 4, 2, 3, 3, 3, 3]","[4, 16, 10, 18, 18, 6, 2]",2610,3.97,11.281
ORJy_det_out,9,"[4, 4, 4, 2, 3, 3, 3, 3]","[4, 5, 2, 2, 6, 6, 3]",351,29.54,11.281
Intg_bound_out,9,"[(4, 1), (4, 1), (4, 1), (5, 5), (5, 5)]","[4, 10, 12, 3]",1631,24.52,11.516
H_bound_out,9,"[(4, 1), (4, 1), (4, 1), (7, 1), (12, 1), (5, 5), (5, 5)]","[4, 10, 12, 12, 12, 3]",4367,769.41,11.52
B_out,9,"[(4, 1), (4, 1), (4, 1), (7, 1), (12, 1), (5, 5), (5, 5)]","[4, 10, 12, 12, 12, 3]",4367,769.41,11.52
J,10,"[(3, 1), (3, 1), (3, 1), (3, 1), (3, 1), (3, 1), (2, 2)]","[3, 9, 12, 4, 4, 4]",670,4.35,11.608
J_det,10,"[3, 3, 3, 3]","[3, 6, 3]",126,0.64,11.693
R,10,"[3, 3, 3, 3, 3, 3]","[3, 9, 9, 9, 3]",666,1.09,11.721
dR,10,"[3, 3, 3, 3, 3, 3, 2]","[3, 9, 15, 12, 5, 2]",1249,1.17,11.721
J_detRT,10,"[(3, 1), (3, 1), (3, 1), (3, 1), (1, 3), (1, 3)]","[3, 9, 18, 9, 3]",1152,0.63,11.728
JdR,10,"[3, 3, 3, 3, 3, 3, 2]","[3, 9, 27, 16, 6, 2]",2443,0.6,11.738
Intg_int,10,"[(5, 5), (5, 5)]",[2],100,6.25,11.925
Intg_str,10,"[(5, 5), (5, 5), (2, 1)]","[4, 2]",304,4.11,11.925
H,10,"[(4, 1), (4, 1), (4, 1), (7, 1), (12, 1), (5, 5), (5, 5)]","[3, 3, 3, 3, 3, 10]",1255,2677.29,11.926
S,10,"[(4, 4), (4, 4), (4, 4), (7, 7), (12, 1), (5, 5), (5, 5)]","[3, 3, 2, 1, 1, 2]",498,3022650.6,11.927
F,10,"[(4, 4), (4, 4), (4, 4), (7, 7), (12, 1), (5, 5), (5, 5)]","[1, 1, 1, 1, 1, 1]",159,9467169.81,11.928
Jx_det_in,10,"[2, 3, 3]","[2, 3]",31,0.58,12.009
Jy_det_in,10,"[2, 3, 3]","[1, 1]",8,2.25,12.009
Rx_in,10,"[2, 3, 3, 3, 3]","[2, 6, 6, 2]",190,0.85,12.009
Ry_in,10,"[2, 3, 3, 3, 3]","[2, 6, 6, 3]",211,0.77,12.009
Ox_in,10,"[4, 4, 4, 2, 3, 3]","[2, 2, 2, 1, 1]",50,23.04,12.009
Oy_in,10,"[4, 4, 4, 2, 3, 3]","[2, 2, 2, 1, 1]",50,23.04,12.009
ORx_in,10,"[4, 4, 4, 2, 3, 3, 3, 3]","[4, 16, 18, 18, 18, 6, 2]",3410,3.04,12.025
ORy_in,10,"[4, 4, 4, 2, 3, 3, 3, 3]","[2, 2, 2, 2, 6, 6, 3]",255,40.66,12.025
ORJx_det_in,10,"[4, 4, 4, 2, 3, 3, 3, 3]","[4, 16, 18, 18, 18, 6, 2]",3410,3.04,12.043
ORJy_det_in,10,"[4, 4, 4, 2, 3, 3, 3, 3]","[2, 2, 2, 2, 6, 6, 3]",255,40.66,12.043
Intg_bound_in,10,"[(12, 12), (4, 4), (4, 1), (4, 1), (5, 5), (5, 5)]","[4, 8, 14, 20, 3]",4231,5445.52,12.359
H_bound_in,10,"[(4, 4), (4, 1), (4, 1), (7, 7), (12, 12), (5, 5), (5, 5)]","[5, 9, 18, 18, 20, 3]",70199,16082.28,12.366
B_in,10,"[(4, 4), (4, 4), (4, 4), (7, 7), (12, 12), (5, 5), (5, 5)]","[5, 9, 18, 18, 20, 3]",72683,248522.49,12.366
Jx_det_out,10,"[2, 3, 3]","[2, 3]",31,0.58,12.375
Jy_det_out,10,"[2, 3, 3]","[1, 1]",8,2.25,12.375
Rx_out,10,"[2, 3, 3, 3, 3]","[2, 6, 6, 2]",190,0.85,12.388
Ry_out,10,"[2, 3, 3, 3, 3]","[2, 6, 6, 3]",211,0.77,12.388
Ox_out,10,"[4, 4, 4, 2, 3, 3]","[2, 2, 2, 1, 1]",50,23.04,12.444
Oy_out,10,"[4, 4, 4, 2, 3, 3]","[2, 2, 2, 1, 1]",50,23.04,12.444
ORx_out,10,"[4, 4, 4, 2, 3, 3, 3, 3]","[4, 16, 18, 18, 18, 6, 2]",3410,3.04,12.461
ORy_out,10,"[4, 4, 4, 2, 3, 3, 3, 3]","[2, 2, 2, 2, 6, 6, 3]",255,40.66,12.461
ORJx_det_out,10,"[4, 4, 4, 2, 3, 3, 3, 3]","[4, 16, 18, 18, 18, 6, 2]",3410,3.04,12.478
ORJy_det_out,10,"[4, 4, 4, 2, 3, 3, 3, 3]","[2, 2, 2, 2, 6, 6, 3]",255,40.66,12.478
Intg_bound_out,10,"[(4, 1), (4, 1), (4, 1), (5, 5), (5, 5)]","[4, 8, 18, 3]",2145,18.65,12.776
H_bound_out,10,"[(4, 1), (4, 1), (4, 1), (7, 1), (12, 1), (5, 5), (5, 5)]","[4, 8, 18, 18, 18, 3]",8301,404.77,12.78
B_out,10,"[(4, 1), (4, 1), (4, 1), (7, 1), (12, 1), (5, 5), (5, 5)]","[4, 8, 18, 18, 18, 3]",8301,404.77,12.78
J,11,"[(3, 1), (3, 1), (3, 1), (3, 1), (3, 1), (3, 1), (2, 2)]","[3, 9, 12, 4, 4, 4]",670,4.35,12.868
J_det,11,"[3, 3, 3, 3]","[3, 9, 3]",180,0.45,12.952
R,11,"[3, 3, 3, 3, 3, 3]","[3, 9, 23, 9, 3]",1422,0.51,12.981
dR,11,"[3, 3, 3, 3, 3, 3, 2]","[3, 9, 27, 16, 6, 2]",2443,0.6,12.981
J_detRT,11,"[(3, 1), (3, 1), (3, 1), (3, 1), (1, 3), (1, 3)]","[3, 9, 27, 9, 3]",1638,0.45,12.988
JdR,11,"[3, 3, 3, 3, 3, 3, 2]","[3, 9, 27, 16, 6, 2]",2443,0.6,13.003
Intg_int,11,"[(5, 5), (5, 5)]",[16],800,0.78,13.262
Intg_str,11,"[(5, 5), (5, 5), (2, 1)]","[19, 2]",1429,0.87,13.262
H,11,"[(4, 1), (4, 1), (4, 1), (7, 1), (12, 1), (5, 5), (5, 5)]","[3, 3, 3, 3, 3, 54]",5655,594.16,13.263
S,11,"[(4, 4), (4, 4), (4, 4), (7, 7), (12, 1), (5, 5), (5, 5)]","[3, 3, 2, 1, 1, 16]",1198,1256494.16,13.264
F,11,"[(4, 4), (4, 4), (4, 4), (7, 7), (12, 1), (5, 5), (5, 5)]","[1, 1, 1, 1, 1, 1]",159,9467169.81,13.264
Jx_det_in,11,"[2, 3, 3]","[2, 3]",31,0.58,13.346
Jy_det_in,11,"[2, 3, 3]","[1, 1]",8,2.25,13.346
Rx_in,11,"[2, 3, 3, 3, 3]","[2, 6, 6, 2]",190,0.85,13.346
Ry_in,11,"[2, 3, 3, 3, 3]","[2, 6, 6, 3]",211,0.77,13.346
Ox_in,11,"[4, 4, 4, 2, 3, 3]","[4, 5, 2, 1, 1]",146,7.89,13.346
Oy_in,11,"[4, 4, 4, 2, 3, 3]","[4, 5, 2, 1, 1]",146,7.89,13.346
ORx_in,11,"[4, 4, 4, 2, 3, 3, 3, 3]","[4, 13, 10, 18, 18, 6, 2]",2442,4.25,13.362
ORy_in,11,"[4, 4, 4, 2, 3, 3, 3, 3]","[4, 5, 2, 2, 6, 6, 3]",351,29.54,13.362
ORJx_det_in,11,"[4, 4, 4, 2, 3, 3, 3, 3]","[4, 13, 10, 18, 18, 6, 2]",2442,4.25,13.378
ORJy_det_in,11,"[4, 4, 4, 2, 3, 3, 3, 3]","[4, 5, 2, 2, 6, 6, 3]",351,29.54,13.378
Intg_bound_in,11,"[(12, 12), (4, 4), (4, 1), (4, 1), (5, 5), (5, 5)]","[3, 8, 11, 12, 3]",2671,8625.98,13.647
H_bound_in,11,"[(4, 4), (4, 1), (4, 1), (7, 7), (12, 12), (5, 5), (5, 5)]","[6, 9, 12, 12, 12, 3]",29511,38255.57,13.654
B_in,11,"[(4, 4), (4, 4), (4, 4), (7, 7), (12, 12), (5, 5), (5, 5)]","[6, 9, 12, 12, 12, 3]",31455,574260.37,13.654
Jx_det_out,11,"[2, 3, 3]","[2, 3]",31,0.58,13.662
Jy_det_out,11,"[2, 3, 3]","[1, 1]",8,2.25,13.662
Rx_out,11,"[2, 3, 3, 3, 3]","[2, 6, 6, 2]",190,0.85,13.675
Ry_out,11,"[2, 3, 3, 3, 3]","[2, 6, 6, 3]",211,0.77,13.675
Ox_out,11,"[4, 4, 4, 2, 3, 3]","[4, 5, 2, 1, 1]",146,7.89,13.731
Oy_out,11,"[4, 4, 4, 2, 3, 3]","[4, 5, 2, 1, 1]",146,7.89,13.731
ORx_out,11,"[4, 4, 4, 2, 3, 3, 3, 3]","[4, 13, 10, 18, 18, 6, 2]",2442,4.25,13.747
ORy_out,11,"[4, 4, 4, 2, 3, 3, 3, 3]","[4, 5, 2, 2, 6, 6, 3]",351,29.54,13.747
ORJx_det_out,11,"[4, 4, 4, 2, 3, 3, 3, 3]","[4, 13, 10, 18, 18, 6, 2]",2442,4.25,13.763
ORJy_det_out,11,"[4, 4, 4, 2, 3, 3, 3, 3]","[4, 5, 2, 2, 6, 6, 3]",351,29.54,13.763
Intg_bound_out,11,"[(4, 1), (4, 1), (4, 1), (5, 5), (5, 5)]","[4, 8, 12, 3]",1503,26.61,13.999
H_bound_out,11,"[(4, 1), (4, 1), (4, 1), (7, 1), (12, 1), (5, 5), (5, 5)]","[4, 8, 12, 12, 12, 3]",4239,792.64,14.003
B_out,11,"[(4, 1), (4, 1), (4, 1), (7, 1), (12, 1), (5, 5), (5, 5)]","[4, 8, 12, 12, 12, 3]",4239,792.64,14.003
H,-1,"[(4, 4), (4, 4), (4, 4), (7, 7), (12, 12), (5, 5), (5, 5)]","[3, 3, 3, 6, 24, 19]",33829,533960.8,14.146
S,-1,"[(4, 4), (4, 4), (4, 4), (7, 7), (12, 12), (5, 5), (5, 5)]","[3, 3, 2, 4, 10, 18]",11390,1585896.4,14.146
F,-1,"[(4, 4), (4, 4), (4, 4), (7, 7), (12, 12), (5, 5), (5, 5)]","[1, 1, 1, 2, 4, 17]",3423,5277055.21,14.146
B_in,-1,"[(4, 4), (4, 4), (4, 4), (7, 7), (12, 12), (5, 5), (5, 5)]","[8, 14, 30, 30, 25, 4]",163340,110587.49,14.146
B_out,-1,"[(4, 4), (4, 4), (4, 4), (7, 7), (12, 12), (5, 5), (5, 5)]","[4, 10, 26, 26, 22, 3]",122081,147962.09,14.146
