Name,Shape,Ranks,Entries,Compression,Elapsed Time (s)
H,"[(4, 4), (16, 16), (16, 16), (4, 4), (12, 12), (12, 12)]","[3, 3, 3, 10, 18]",33648,10339168.776034236,8.266782283782959
B_out,"[(4, 4), (16, 16), (16, 16), (4, 4), (12, 12), (12, 12)]","[4, 28, 42, 46, 7]",408080,852510.1719662811,8.26681661605835
B_in,"[(4, 4), (16, 16), (16, 16), (4, 4), (12, 12), (12, 12)]","[6, 30, 44, 47, 7]",465568,747242.8323596123,8.266836881637573
S,"[(4, 4), (16, 16), (16, 16), (4, 4), (12, 12), (12, 12)]","[1, 1, 1, 2, 7]",3584,97068178.28571428,8.266854286193848
