,,Shape,Ranks,Entries,Compression,Elapsed Time (s)
Ox_in,1,"[4, 16, 16, 2, 6, 3]","[4, 17, 2, 1, 1]",1661,22.19,4.042
Oy_in,1,"[4, 16, 16, 2, 6, 3]","[4, 17, 2, 1, 1]",1661,22.19,4.042
ORx_in,1,"[4, 16, 16, 2, 6, 3, 3, 3]","[3, 43, 18, 18, 9, 3, 1]",16173,20.51,4.067
ORy_in,1,"[4, 16, 16, 2, 6, 3, 3, 3]","[4, 17, 2, 2, 9, 6, 3]",1989,166.81,4.067
ORJx_det_in,1,"[4, 16, 16, 2, 6, 3, 3, 3]","[3, 43, 18, 18, 9, 3, 1]",16173,20.51,4.09
ORJy_det_in,1,"[4, 16, 16, 2, 6, 3, 3, 3]","[4, 17, 2, 4, 18, 6, 3]",2483,133.62,4.09
Intg_bound_in,1,"[(4, 4), (4, 4), (16, 1), (16, 1), (8, 8), (8, 8)]","[3, 7, 27, 20, 3]",16080,16693.75,4.509
H_bound_in,1,"[(4, 4), (16, 1), (16, 1), (7, 7), (4, 4), (8, 8), (8, 8)]","[5, 27, 20, 20, 20, 3]",40912,321503.16,4.539
B_in,1,"[(4, 4), (16, 16), (16, 16), (7, 7), (4, 4), (8, 8), (8, 8)]","[5, 27, 20, 20, 20, 3]",202912,16594653.64,4.539
Jx_det_out,1,"[2, 6, 3]","[1, 3]",29,1.24,4.554
Jy_det_out,1,"[2, 6, 3]","[2, 3]",49,0.73,4.554
Rx_out,1,"[2, 6, 3, 3, 3]","[2, 9, 6, 2]",316,1.03,4.576
Ry_out,1,"[2, 6, 3, 3, 3]","[2, 8, 6, 3]",307,1.06,4.576
Ox_out,1,"[4, 16, 16, 2, 6, 3]","[4, 17, 2, 1, 1]",1661,22.19,4.685
Oy_out,1,"[4, 16, 16, 2, 6, 3]","[4, 17, 2, 1, 1]",1661,22.19,4.685
ORx_out,1,"[4, 16, 16, 2, 6, 3, 3, 3]","[3, 43, 18, 36, 18, 6, 2]",20010,16.58,4.716
ORy_out,1,"[4, 16, 16, 2, 6, 3, 3, 3]","[4, 17, 2, 2, 9, 6, 3]",1989,166.81,4.716
ORJx_det_out,1,"[4, 16, 16, 2, 6, 3, 3, 3]","[3, 43, 18, 36, 18, 6, 2]",20010,16.58,4.742
ORJy_det_out,1,"[4, 16, 16, 2, 6, 3, 3, 3]","[4, 17, 2, 4, 18, 6, 3]",2483,133.62,4.742
Intg_bound_out,1,"[(4, 1), (16, 1), (16, 1), (8, 8), (8, 8)]","[4, 27, 20, 3]",14416,290.95,5.082
H_bound_out,1,"[(4, 1), (16, 1), (16, 1), (7, 1), (4, 1), (8, 8), (8, 8)]","[4, 27, 20, 20, 20, 3]",18816,6241.52,5.087
B_out,1,"[(4, 1), (16, 1), (16, 1), (7, 1), (4, 1), (8, 8), (8, 8)]","[4, 27, 20, 20, 20, 3]",18816,6241.52,5.087
J,2,"[(6, 1), (6, 1), (3, 1), (3, 1), (3, 1), (3, 1), (2, 2)]","[6, 28, 12, 4, 4, 4]",2308,5.05,5.38
J_det,2,"[6, 6, 3, 3]","[6, 9, 3]",450,0.72,5.686
R,2,"[6, 6, 3, 3, 3, 3]","[6, 30, 25, 9, 3]",4131,0.71,5.793
dR,2,"[6, 6, 3, 3, 3, 3, 2]","[6, 32, 48, 16, 6, 2]",8428,0.69,5.793
J_detRT,2,"[(6, 1), (6, 1), (3, 1), (3, 1), (1, 3), (1, 3)]","[6, 34, 27, 9, 3]",4833,0.6,5.803
JdR,2,"[6, 6, 3, 3, 3, 3, 2]","[6, 36, 48, 16, 6, 2]",9148,0.64,5.819
Intg_int,2,"[(8, 8), (8, 8)]",[17],2176,1.88,6.386
Intg_str,2,"[(8, 8), (8, 8), (2, 1)]","[34, 2]",6532,1.25,6.386
H,2,"[(4, 1), (16, 1), (16, 1), (7, 1), (4, 1), (8, 8), (8, 8)]","[3, 3, 3, 3, 3, 85]",22159,5299.9,6.387
S,2,"[(4, 4), (16, 16), (16, 16), (7, 7), (4, 1), (8, 8), (8, 8)]","[1, 1, 1, 1, 1, 17]",2757,305336811.76,6.387
F,2,"[(4, 4), (16, 16), (16, 16), (7, 7), (4, 1), (8, 8), (8, 8)]","[1, 1, 1, 1, 1, 1]",709,1187325232.74,6.388
Jx_det_in,2,"[2, 6, 3]","[2, 3]",49,0.73,6.524
Jy_det_in,2,"[2, 6, 3]","[2, 3]",49,0.73,6.524
Rx_in,2,"[2, 6, 3, 3, 3]","[2, 9, 6, 2]",316,1.03,6.524
Ry_in,2,"[2, 6, 3, 3, 3]","[2, 8, 6, 3]",307,1.06,6.524
Ox_in,2,"[4, 16, 16, 2, 6, 3]","[4, 17, 2, 1, 1]",1661,22.19,6.524
Oy_in,2,"[4, 16, 16, 2, 6, 3]","[4, 17, 2, 1, 1]",1661,22.19,6.524
ORx_in,2,"[4, 16, 16, 2, 6, 3, 3, 3]","[4, 29, 19, 36, 18, 6, 2]",16310,20.34,6.551
ORy_in,2,"[4, 16, 16, 2, 6, 3, 3, 3]","[4, 17, 2, 2, 9, 6, 3]",1989,166.81,6.551
ORJx_det_in,2,"[4, 16, 16, 2, 6, 3, 3, 3]","[4, 29, 19, 36, 18, 6, 2]",16310,20.34,6.592
ORJy_det_in,2,"[4, 16, 16, 2, 6, 3, 3, 3]","[4, 17, 2, 4, 18, 6, 3]",2483,133.62,6.592
Intg_bound_in,2,"[(4, 4), (4, 4), (16, 1), (16, 1), (8, 8), (8, 8)]","[3, 8, 21, 21, 4]",15808,16980.99,6.972
H_bound_in,2,"[(4, 4), (16, 1), (16, 1), (7, 7), (4, 4), (8, 8), (8, 8)]","[6, 20, 21, 21, 21, 4]",43033,305656.99,6.999
B_in,2,"[(4, 4), (16, 16), (16, 16), (7, 7), (4, 4), (8, 8), (8, 8)]","[6, 20, 21, 21, 21, 4]",172633,19505276.28,6.999
Jx_det_out,2,"[2, 6, 3]","[2, 3]",49,0.73,7.013
Jy_det_out,2,"[2, 6, 3]","[2, 3]",49,0.73,7.013
Rx_out,2,"[2, 6, 3, 3, 3]","[2, 9, 6, 2]",316,1.03,7.035
Ry_out,2,"[2, 6, 3, 3, 3]","[2, 8, 6, 3]",307,1.06,7.035
Ox_out,2,"[4, 16, 16, 2, 6, 3]","[4, 17, 2, 1, 1]",1661,22.19,7.123
Oy_out,2,"[4, 16, 16, 2, 6, 3]","[4, 17, 2, 1, 1]",1661,22.19,7.123
ORx_out,2,"[4, 16, 16, 2, 6, 3, 3, 3]","[4, 29, 19, 36, 18, 6, 2]",16310,20.34,7.147
ORy_out,2,"[4, 16, 16, 2, 6, 3, 3, 3]","[4, 17, 2, 2, 9, 6, 3]",1989,166.81,7.147
ORJx_det_out,2,"[4, 16, 16, 2, 6, 3, 3, 3]","[4, 29, 19, 36, 18, 6, 2]",16310,20.34,7.172
ORJy_det_out,2,"[4, 16, 16, 2, 6, 3, 3, 3]","[4, 17, 2, 4, 18, 6, 3]",2483,133.62,7.172
Intg_bound_out,2,"[(4, 1), (16, 1), (16, 1), (8, 8), (8, 8)]","[4, 20, 21, 4]",13648,307.32,7.5
H_bound_out,2,"[(4, 1), (16, 1), (16, 1), (7, 1), (4, 1), (8, 8), (8, 8)]","[4, 20, 21, 21, 21, 4]",18499,6348.48,7.51
B_out,2,"[(4, 1), (16, 1), (16, 1), (7, 1), (4, 1), (8, 8), (8, 8)]","[4, 20, 21, 21, 21, 4]",18499,6348.48,7.51
J,3,"[(6, 1), (6, 1), (3, 1), (3, 1), (3, 1), (3, 1), (2, 2)]","[6, 28, 12, 4, 4, 4]",2308,5.05,7.816
J_det,3,"[6, 6, 3, 3]","[6, 9, 3]",450,0.72,8.057
