,,Shape,Ranks,Entries,Compression,Elapsed Time (s)
J,0,"[(6, 1), (6, 1), (3, 1), (3, 1), (3, 1), (3, 1), (2, 2)]","[6, 30, 12, 4, 4, 4]",2452,4.76,0.381
J_det,0,"[6, 6, 3, 3]","[6, 9, 3]",450,0.72,0.65
R,0,"[6, 6, 3, 3, 3, 3]","[6, 30, 25, 9, 3]",4131,0.71,0.763
dR,0,"[6, 6, 3, 3, 3, 3, 2]","[6, 32, 48, 16, 6, 2]",8428,0.69,0.763
J_detRT,0,"[(6, 1), (6, 1), (3, 1), (3, 1), (1, 3), (1, 3)]","[6, 36, 27, 9, 3]",5067,0.58,1.104
JdR,0,"[6, 6, 3, 3, 3, 3, 2]","[6, 36, 48, 16, 6, 2]",9148,0.64,1.132
Intg_int,0,"[(8, 8), (8, 8)]",[17],2176,1.88,1.755
Intg_str,0,"[(8, 8), (8, 8), (2, 1)]","[34, 2]",6532,1.25,1.755
H,0,"[(4, 1), (8, 1), (8, 1), (7, 1), (4, 1), (8, 8), (8, 8)]","[3, 3, 3, 3, 3, 85]",22015,1333.64,1.757
S,0,"[(4, 4), (8, 8), (8, 8), (7, 7), (4, 1), (8, 8), (8, 8)]","[1, 1, 1, 1, 1, 17]",2373,22171660.08,1.759
F,0,"[(4, 4), (8, 8), (8, 8), (7, 7), (4, 1), (8, 8), (8, 8)]","[1, 1, 1, 1, 1, 16]",2245,23435790.37,1.762
Jx_det_in,0,"[2, 6, 3]","[1, 3]",29,1.24,1.917
Jy_det_in,0,"[2, 6, 3]","[2, 3]",49,0.73,1.917
Rx_in,0,"[2, 6, 3, 3, 3]","[1, 6, 3, 1]",104,3.12,1.917
Ry_in,0,"[2, 6, 3, 3, 3]","[2, 8, 6, 3]",307,1.06,1.917
Ox_in,0,"[4, 8, 8, 2, 6, 3]","[4, 9, 2, 1, 1]",461,19.99,1.917
Oy_in,0,"[4, 8, 8, 2, 6, 3]","[4, 9, 2, 1, 1]",461,19.99,1.917
ORx_in,0,"[4, 8, 8, 2, 6, 3, 3, 3]","[3, 18, 18, 18, 9, 3, 1]",4749,17.47,1.933
ORy_in,0,"[4, 8, 8, 2, 6, 3, 3, 3]","[4, 9, 2, 2, 9, 6, 3]",789,105.13,1.933
ORJx_det_in,0,"[4, 8, 8, 2, 6, 3, 3, 3]","[3, 18, 18, 18, 9, 3, 1]",4749,17.47,1.949
ORJy_det_in,0,"[4, 8, 8, 2, 6, 3, 3, 3]","[4, 9, 2, 4, 18, 6, 3]",1283,64.65,1.949
Intg_bound_in,0,"[(4, 4), (4, 4), (8, 1), (8, 1), (8, 8), (8, 8)]","[3, 7, 12, 20, 3]",7008,9576.04,2.287
H_bound_in,0,"[(4, 4), (8, 1), (8, 1), (7, 7), (4, 4), (8, 8), (8, 8)]","[5, 12, 20, 20, 20, 3]",32512,101142.17,2.297
B_in,0,"[(4, 4), (8, 8), (8, 8), (7, 7), (4, 4), (8, 8), (8, 8)]","[5, 12, 20, 20, 20, 3]",49312,4267792.78,2.297
Jx_det_out,0,"[2, 6, 3]","[1, 3]",29,1.24,2.311
Jy_det_out,0,"[2, 6, 3]","[2, 3]",49,0.73,2.311
Rx_out,0,"[2, 6, 3, 3, 3]","[2, 9, 6, 2]",316,1.03,2.331
Ry_out,0,"[2, 6, 3, 3, 3]","[2, 8, 6, 3]",307,1.06,2.331
Ox_out,0,"[4, 8, 8, 2, 6, 3]","[4, 9, 2, 1, 1]",461,19.99,2.423
Oy_out,0,"[4, 8, 8, 2, 6, 3]","[4, 9, 2, 1, 1]",461,19.99,2.423
ORx_out,0,"[4, 8, 8, 2, 6, 3, 3, 3]","[3, 18, 18, 36, 18, 6, 2]",8586,9.66,2.441
ORy_out,0,"[4, 8, 8, 2, 6, 3, 3, 3]","[4, 9, 2, 2, 9, 6, 3]",789,105.13,2.441
ORJx_det_out,0,"[4, 8, 8, 2, 6, 3, 3, 3]","[3, 18, 18, 36, 18, 6, 2]",8586,9.66,2.459
