Name,Shape,Entries,Compression,Elapsed Time (s)
H,"(114688, 114688)",4257793,3089.2383316896808,1.6268627643585205
S,"(114688, 114688)",3211336,4095.9081653243384,1.6269073486328125
F,"(114688, 114688)",3211272,4095.989795943788,1.626929759979248
B_out,"(114688, 114688)",329043,39974.524132104314,1.6269831657409668
B_in,"(114688, 114688)",331549,39672.378272894806,1.627000331878662
