Name,Shape,Ranks,Entries,Compression,Elapsed Time (s)
H,"[(4, 4), (16, 16), (16, 16), (7, 7), (4, 4), (12, 12), (12, 12)]","[3, 3, 3, 4, 12, 17]",37836,450542478.0057089,5.367255926132202
S,"[(4, 4), (16, 16), (16, 16), (7, 7), (4, 4), (12, 12), (12, 12)]","[1, 1, 1, 2, 4, 9]",7234,2356472933.0693946,5.367294073104858
F,"[(4, 4), (16, 16), (16, 16), (7, 7), (4, 4), (12, 12), (12, 12)]","[1, 1, 1, 1, 2, 7]",3633,4692189704.8786125,5.367316722869873
B_out,"[(4, 4), (16, 16), (16, 16), (7, 7), (4, 4), (12, 12), (12, 12)]","[4, 28, 46, 46, 48, 7]",546868,31171553.643336236,5.367337465286255
B_in,"[(4, 4), (16, 16), (16, 16), (7, 7), (4, 4), (12, 12), (12, 12)]","[8, 32, 49, 49, 49, 8]",680737,25041572.880310606,5.367355108261108
