Name,Shape,Ranks,Entries,Compression,Elapsed Time (s)
H,"[(4, 4), (32, 32), (32, 32), (14, 14), (14, 14)]","[3, 3, 3, 31]",42784,15064358.869109947,51.330644845962524
S,"[(4, 4), (32, 32), (32, 32), (14, 14), (14, 14)]","[1, 1, 1, 8]",5200,123944909.5876923,51.33067846298218
F,"[(4, 4), (32, 32), (32, 32), (14, 14), (14, 14)]","[1, 1, 1, 8]",5200,123944909.5876923,51.330700159072876
B_out,"[(4, 4), (32, 32), (32, 32), (14, 14), (14, 14)]","[4, 66, 49, 29]",3866216,166703.96321778194,51.33071684837341
