Name,Shape,Ranks,Entries,Compression,Elapsed Time (s)
H,"[(4, 4), (32, 32), (32, 32), (14, 14), (20, 20)]","[3, 3, 3, 13]",31324,41991244.234452814,18.41688871383667
S,"[(4, 4), (32, 32), (32, 32), (14, 14), (20, 20)]","[1, 1, 1, 5]",5044,260771953.68754956,18.416924238204956
F,"[(4, 4), (32, 32), (32, 32), (14, 14), (20, 20)]","[1, 1, 1, 5]",5044,260771953.68754956,18.41694688796997
B_out,"[(4, 4), (32, 32), (32, 32), (14, 14), (20, 20)]","[4, 36, 27, 3]",1159924,1133982.6871415714,18.416963815689087
B_in,"[(4, 4), (32, 32), (32, 32), (14, 14), (20, 20)]","[2, 2, 2, 2]",9808,134108251.87601958,18.416979789733887
