Name,Shape,Ranks,Entries,Compression,Elapsed Time (s)
H,"[(4, 4), (16, 16), (16, 16), (7, 7), (12, 12), (12, 12), (12, 12)]","[3, 3, 3, 6, 23, 9]",56514,2714734875.9673,194.5297954082489
S,"[(4, 4), (16, 16), (16, 16), (7, 7), (12, 12), (12, 12), (12, 12)]","[3, 3, 2, 4, 9, 5]",16664,9206704679.573692,194.52983283996582
F,"[(4, 4), (16, 16), (16, 16), (7, 7), (12, 12), (12, 12), (12, 12)]","[1, 1, 1, 2, 4, 4]",4658,32936995873.854874,194.52985548973083
B_out,"[(4, 4), (16, 16), (16, 16), (7, 7), (12, 12), (12, 12), (12, 12)]","[4, 34, 85, 89, 47, 3]",1768493,86752125.5557223,194.52987575531006
B_in,"[(4, 4), (16, 16), (16, 16), (7, 7), (12, 12), (12, 12), (12, 12)]","[8, 38, 89, 93, 50, 4]",2048293,74901650.68201473,194.5298933982849
