Name,Shape,Ranks,Entries,Compression,Elapsed Time (s)
H,"[(4, 4), (4, 4), (4, 4), (7, 7), (12, 12), (9, 9), (9, 9)]","[3, 3, 3, 5, 23, 14]",44847,4228196.488862131,75.34035587310791
B_out,"[(4, 4), (4, 4), (4, 4), (7, 7), (12, 12), (9, 9), (9, 9)]","[4, 10, 26, 26, 36, 3]",181763,1043237.2261461354,75.34038853645325
B_in,"[(4, 4), (4, 4), (4, 4), (7, 7), (12, 12), (9, 9), (9, 9)]","[8, 14, 30, 30, 39, 4]",234180,809727.2522674865,75.34040713310242
S,"[(4, 4), (4, 4), (4, 4), (7, 7), (12, 12), (9, 9), (9, 9)]","[3, 3, 2, 3, 9, 5]",8520,22256094.828169014,75.34042239189148
F,"[(4, 4), (4, 4), (4, 4), (7, 7), (12, 12), (9, 9), (9, 9)]","[1, 1, 1, 1, 3, 4]",1825,103902426.26630136,75.34043645858765
