Name,Shape,Entries,Compression,Elapsed Time (s)
H,"(12386304, 12386304)",514031617,298465.1560458702,102.68377590179443
S,"(12386304, 12386304)",292629536,524282.4387365191,102.68381142616272
F,"(12386304, 12386304)",146313248,1048575.7706671647,102.68382906913757
B_out,"(12386304, 12386304)",29611569,5181100.8994631795,102.683846950531
B_in,"(12386304, 12386304)",29754621,5156191.597278822,102.68386244773865
