Name,Shape,Entries,Compression,Elapsed Time (s)
H,"torch.Size([1048576, 1048576])",122880000,8947.848533333334,40.98291015625
S,"torch.Size([1, 256, 256])",40000,1.6384,40.982975006103516
q,torch.Size([1048576]),1048576,1,40.98300099372864
B_out,"torch.Size([1048576, 1048576])",2617260,420100.2681338499,40.98303723335266
