Name,Shape,Entries,Compression,Elapsed Time (s)
H,"(12582912, 12582912)",995622913,159025.74391610452,235.33618640899658
S,"(12582912, 12582912)",9441344,16769823.70303889,235.3362226486206
q,torch.Size([12582912]),12582912,1.0,235.3362512588501
B_out,"(12582912, 12582912)",30830051,5135563.168537866,235.336270570755
B_in,"(12582912, 12582912)",30091697,5261573.463262773,235.33628606796265
