Name,Shape,Ranks,Entries,Compression,Elapsed Time (s)
H,"[(4, 4), (32, 32), (32, 32), (12, 12), (16, 16), (16, 16)]","[3, 3, 3, 25, 17]",142432,1111615889.6859133,131.941162109375
S,"[(4, 4), (32, 32), (32, 32), (12, 12), (16, 16), (16, 16)]","[1, 1, 1, 6, 6]",13680,11573806608.16842,131.9411985874176
B_out,"[(4, 4), (32, 32), (32, 32), (12, 12), (16, 16), (16, 16)]","[4, 64, 106, 61, 6]",8235360,19225592.37237279,131.94121980667114
B_in,"[(4, 4), (32, 32), (32, 32), (12, 12), (16, 16), (16, 16)]","[6, 66, 110, 64, 6]",8953440,17683669.56161475,131.94123721122742
