Name,Shape,Entries,Compression,Elapsed Time (s)
H,"(196608, 196608)",15556609,2484.7770914599705,17.52690815925598
S,"(196608, 196608)",9437256,4095.9687502384168,17.526939153671265
q,torch.Size([196608]),196608,1.0,17.52696466445923
B_out,"(196608, 196608)",481581,80266.25980676147,17.52698254585266
B_in,"(196608, 196608)",470025,82239.68015318335,17.52699613571167
