Name,Shape,Ranks,Entries,Compression,Elapsed Time (s)
H,"[(4, 4), (32, 32), (32, 32), (12, 12), (10, 10), (10, 10)]","[3, 3, 3, 27, 39]",139344,173378050.29280055,149.99270868301392
S,"[(4, 4), (32, 32), (32, 32), (12, 12), (10, 10), (10, 10)]","[1, 1, 1, 6, 18]",15528,1555846924.2658424,149.99275660514832
B_out,"[(4, 4), (32, 32), (32, 32), (12, 12), (10, 10), (10, 10)]","[4, 64, 170, 62, 8]",12971488,1862484.168354471,149.99278020858765
B_in,"[(4, 4), (32, 32), (32, 32), (12, 12), (10, 10), (10, 10)]","[6, 66, 171, 64, 8]",13590400,1777665.928890982,149.9927978515625
