Name,Shape,Entries,Compression,Elapsed Time (s)
H,"(1048576, 1048576)",82968577,13252.145179927576,45.15206289291382
S,"(1048576, 1048576)",69696,15775821.105601469,45.15210032463074
q,torch.Size([1048576]),1048576,1.0,45.152132749557495
B_out,"(1048576, 1048576)",2678785,410451.61436098826,45.152151346206665
